ArrayType,ArraySize,ExecutionTime(ms)
Random_MergeSort,500,0
Random_HybridSort,500,0
Random_MergeSort,1000,1
Random_HybridSort,1000,0
Random_MergeSort,2000,3
Random_HybridSort,2000,0
Random_MergeSort,5000,6
Random_HybridSort,5000,3
Random_MergeSort,10000,14
Random_HybridSort,10000,4
Reverse_MergeSort,500,0
Reverse_HybridSort,500,0
Reverse_MergeSort,1000,1
Reverse_HybridSort,1000,0
Reverse_MergeSort,2000,4
Reverse_HybridSort,2000,1
Reverse_MergeSort,5000,7
Reverse_HybridSort,5000,2
Reverse_MergeSort,10000,19
Reverse_HybridSort,10000,8
NearlySorted_MergeSort,500,4
NearlySorted_HybridSort,500,0
NearlySorted_MergeSort,1000,2
NearlySorted_HybridSort,1000,0
NearlySorted_MergeSort,2000,3
NearlySorted_HybridSort,2000,0
NearlySorted_MergeSort,5000,7
NearlySorted_HybridSort,5000,2
NearlySorted_MergeSort,10000,11
NearlySorted_HybridSort,10000,2
