N,Scale,ApproxArea,RelativeError
87600,3,0.944486,3.26987e-05
88100,3,0.933303,0.0118729
88600,3,0.946321,0.00190929
89100,3,0.942424,0.00221589
89600,3,0.952333,0.0082745
90100,3,0.958735,0.0150527
90600,3,0.936258,0.00874405
91100,3,0.935763,0.00926853
91600,3,0.941954,0.0027136
92100,3,0.934691,0.0104039
92600,3,0.951609,0.00750848
93100,3,0.952879,0.00885261
93600,3,0.941731,0.0029501
94100,3,0.956908,0.0131182
94600,3,0.944715,0.000208998
95100,3,0.935773,0.00925797
95600,3,0.937939,0.00696425
96100,3,0.948887,0.00462606
96600,3,0.955994,0.0121508
97100,3,0.935963,0.00905676
97600,3,0.960676,0.0171083
98100,3,0.949358,0.00512496
98600,3,0.952028,0.00795244
99100,3,0.961483,0.0179628
99600,3,0.948072,0.00376394
100,4,1.12,0.185791
600,4,0.96,0.0163923
1100,4,0.974545,0.0317922
1600,4,0.93,0.01537
2100,4,0.929524,0.0158741
2600,4,1.05846,0.120638
3100,4,0.980645,0.0382502
3600,4,1.01778,0.0775641
4100,4,1.01854,0.0783674
4600,4,0.911304,0.0351638
5100,4,0.981961,0.0396431
5600,4,0.934286,0.0108325
6100,4,0.907541,0.0391483
6600,4,1.00364,0.062592
7100,4,0.935211,0.00985257
7600,4,0.903158,0.0437888
8100,4,0.904691,0.0421653
8600,4,0.894884,0.052549
9100,4,1.03912,0.100161
9600,4,0.945,0.000511176
10100,4,0.961584,0.0180695
10600,4,0.956981,0.0131961
11100,4,0.867748,0.081279
11600,4,0.918621,0.0274177
12100,4,0.913719,0.0326073
12600,4,0.96254,0.0190812
13100,4,0.927023,0.0185219
13600,4,0.889412,0.0583424
14100,4,0.996312,0.0548374
14600,4,0.991781,0.05004
15100,4,0.900662,0.0464311
15600,4,0.958974,0.0153064
16100,4,0.964969,0.0216531
16600,4,0.974458,0.0316994
17100,4,0.939415,0.00540168
17600,4,0.98,0.0375671
18100,4,0.96,0.0163923
18600,4,0.95828,0.0145708
19100,4,0.941571,0.00311959
19600,4,0.961633,0.0181209
20100,4,0.95602,0.0121784
20600,4,0.943689,0.000876496
21100,4,0.952417,0.00836393
21600,4,0.937778,0.00713529
22100,4,0.986787,0.0447532
22600,4,0.913982,0.0323286
23100,4,0.935065,0.0100075
23600,4,0.902373,0.0446199
24100,4,0.912863,0.0335135
24600,4,0.937236,0.00770914
25100,4,0.951076,0.00694377
25600,4,0.90875,0.0378682
26100,4,0.933027,0.0121653
26600,4,0.913684,0.0326442
27100,4,0.95941,0.0157672
27600,4,0.988986,0.0470805
28100,4,0.966833,0.0236264
28600,4,0.938182,0.00670752
29100,4,0.92866,0.0167889
29600,4,0.92973,0.0156561
30100,4,0.947243,0.00288543
30600,4,0.946928,0.00255254
31100,4,0.914727,0.0315405
31600,4,0.980759,0.0383713
32100,4,0.942056,0.00260568
32600,4,0.914847,0.0314135
33100,4,0.973051,0.0302103
33600,4,0.95619,0.012359
34100,4,0.964223,0.0208632
34600,4,0.949827,0.00562129
35100,4,0.929459,0.0159431
35600,4,0.970337,0.0273366
36100,4,0.950693,0.00653809
36600,4,0.977049,0.034443
37100,4,0.927655,0.0178527
37600,4,0.954468,0.0105354
38100,4,0.946982,0.00260921
38600,4,0.947979,0.00366546
39100,4,0.977187,0.0345886
39600,4,0.968485,0.0253756
40100,4,0.914115,0.0321884
40600,4,0.961182,0.017644
41100,4,0.9382,0.00668879
41600,4,0.905769,0.0410241
42100,4,0.920095,0.0258568
42600,4,0.926197,0.0193962
43100,4,0.955545,0.0116759
43600,4,0.926972,0.0185753
44100,4,0.963265,0.0198494
44600,4,0.952466,0.00841613
45100,4,0.939424,0.0053929
45600,4,0.915439,0.0307867
46100,4,0.947852,0.00353123
46600,4,0.916738,0.0294108
47100,4,0.929427,0.0159769
47600,4,0.939832,0.00496047
48100,4,0.936383,0.00861249
48600,4,0.958683,0.0149981
49100,4,0.941426,0.00327313
49600,4,0.943226,0.00136724
50100,4,0.926467,0.0191104
50600,4,0.951462,0.00735324
51100,4,0.958121,0.0144033
51600,4,0.926202,0.0193915
52100,4,0.94096,0.00376647
52600,4,0.938707,0.00615125
53100,4,0.932279,0.0129574
53600,4,0.941194,0.00351836
54100,4,0.962366,0.0188973
54600,4,0.952967,0.00894621
55100,4,0.93706,0.00789535
55600,4,0.970935,0.0279699
56100,4,0.93918,0.00565067
56600,4,0.94417,0.000367992
57100,4,0.940385,0.00437461
57600,4,0.940556,0.00419434
58100,4,0.928055,0.0174291
58600,4,0.93215,0.0130935
59100,4,0.925347,0.0202964
59600,4,0.971544,0.028614
60100,4,0.956805,0.01301
60600,4,0.949703,0.00549041
61100,4,0.958167,0.0144516
61600,4,0.982597,0.0403171
62100,4,0.938615,0.00624875
62600,4,0.977636,0.035064
63100,4,0.95645,0.0126339
63600,4,0.939119,0.00571476
64100,4,0.931045,0.0142633
64600,4,0.94291,0.00170137
65100,4,0.935668,0.00936879
65600,4,0.960976,0.0174252
66100,4,1.0026,0.061497
66600,4,0.938138,0.00675377
67100,4,0.929717,0.0156697
67600,4,0.927811,0.0176879
68100,4,0.960235,0.0166411
68600,4,0.932245,0.0129932
69100,4,0.947728,0.00339935
69600,4,0.962759,0.019313
70100,4,0.966391,0.0231586
70600,4,0.950028,0.00583488
71100,4,0.942897,0.00171501
71600,4,0.952402,0.00834823
72100,4,0.910069,0.0364714
72600,4,0.949201,0.00495906
73100,4,0.925855,0.0197584
73600,4,0.915435,0.0307908
74100,4,0.945749,0.00130416
74600,4,0.920322,0.0256168
75100,4,0.933795,0.0113521
